source,target,similarity_score
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of MDMA & Its Therapeutic Uses: Benefits & Risks,0.3061175265142395
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Immordino-Yang: How Emotions & Social Factors Impact Learning,0.20208321516673144
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Adderall, Stimulants & Modafinil for ADHD: Short- & Long-Term Effects",0.2487764279352403
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Robin Carhart-Harris: The Science of Psychedelics for Mental Health,0.37252506745770403
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Susanna Søberg: How to Use Cold & Heat Exposure to Improve Your Health,0.14589358145414338
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"How Psilocybin Can Rewire Our Brain, Its Therapeutic Benefits & Its Risks",0.2503085722162773
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Noam Sobel: How Smells Influence Our Hormones, Health & Behavior",0.15116104101186026
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Science-Based Mental Training & Visualization for Improved Learning,0.18333346652074234
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Matthew MacDougall: Neuralink & Technologies to Enhance Human Brains,0.15560731732859645
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"The Science of Healthy Hair, Hair Loss and How to Regrow Hair",0.1599078021402399
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Elissa Epel: Control Stress for Healthy Eating, Metabolism & Aging",0.1504998332164259
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Leverage Dopamine to Overcome Procrastination & Optimize Effort,0.04972183068109407
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Peter Attia: Improve Vitality, Emotional & Physical Health & Lifespan",0.2918131925504112
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Satchin Panda: Intermittent Fasting to Improve Health, Cognition & Longevity",0.2755407761054269
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Optimize Your Water Quality & Intake for Health,0.13444353543825494
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Oded Rechavi: Genes & the Inheritance of Memories Across Generations,0.3103522563685353
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Guest Series | Dr. Andy Galpin: Optimal Nutrition & Supplementation for Fitness,0.041861283668721626
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"How to Breathe Correctly for Optimal Health, Mood, Learning & Performance",0.19044640484253295
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Guest Series | Dr. Andy Galpin: Maximize Recovery to Achieve Fitness & Performance Goals,0.0648671752166307
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Gina Poe: Use Sleep to Enhance Learning, Memory & Emotional State",0.1371739322257436
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Guest Series | Dr. Andy Galpin: Optimize Your Training Program for Fitness & Longevity,0.11445114548118479
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Stop Headaches Using Science-Based Approaches,0.2648447199089403
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Guest Series | Dr. Andy Galpin: How to Build Physical Endurance & Lose Fat,0.12676460467131223
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity,0.202394477513919
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Guest Series | Dr. Andy Galpin: Optimal Protocols to Build Strength & Grow Muscles,0.07458786893016117
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Optimize Fertility in Males & Females,0.2312878495207723
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Guest Series | Dr. Andy Galpin: How to Assess & Improve All Aspects of Your Fitness,0.14185311999167113
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Rick Rubin: How to Access Your Creativity,0.20081349932694112
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Developing a Rational Approach to Supplementation for Health & Performance,0.08768976235161328
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind",0.3342202732402934
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Jocko Willink: How to Become Resilient, Forge Your Identity & Lead Others",0.1767322579985819
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of Creativity & How to Enhance Creative Innovation,0.14966943028028112
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Kyle Gillett: Tools for Hormone Optimization in Males,0.05100009031236157
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Using Caffeine to Optimize Mental & Physical Performance,0.13753530297638247
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Lex Fridman: Navigating Conflict, Finding Purpose & Maintaining Drive",0.2942655280296312
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Chris Palmer: Diet & Nutrition for Mental Health,0.24161742306580558
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Science-Based Tools for Increasing Happiness,0.07782428712010829
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Layne Norton: The Science of Eating for Health, Fat Loss & Lean Muscle",0.22724002497235377
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How Meditation Works & Science-Based Effective Meditations,0.1609013103702513
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Eddie Chang: The Science of Learning & Speaking Languages,0.3011824152018342
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Fitness Toolkit: Protocol & Tools to Optimize Physical Health,0.10230955488233119
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Nolan Williams: Psychedelics & Neurostimulation for Brain Rewiring,0.2742897288590408
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Effects of Cannabis (Marijuana) on the Brain & Body,0.41375023659290955
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors,0.18241549072016885
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping,0.25172155708359445
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. David Anderson: The Biology of Aggression, Mating & Arousal",0.28352938177418796
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Focus Toolkit: Tools to Improve Your Focus & Concentration,0.14841980729107684
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Erich Jarvis: The Neuroscience of Speech, Language & Music",0.3095881329635736
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"What Alcohol Does to Your Body, Brain & Health",0.2265836898714879
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Peter Attia: Exercise, Nutrition, Hormones for Vitality & Longevity",0.24492982380099618
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Sleep Toolkit: Tools for Optimizing Sleep & Sleep-Wake Timing,0.1121804668670691
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Emily Balcetis: Tools for Setting & Achieving Goals,0.14797727979829997
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science & Treatment of Bipolar Disorder,0.31337276300975536
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Charles Zuker: The Biology of Taste Perception & Sugar Craving,0.3600643877667639
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Optimize & Control Your Brain Chemistry to Improve Health & Performance,0.1351220217664991
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Jeff Cavaliere: Optimize Your Exercise Program with Science-Based Tools,0.04090781906258872
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science & Treatment of Obsessive Compulsive Disorder (OCD),0.22265593654002602
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Ido Portal: The Science & Practice of Movement,0.2780865539590331
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Improve Flexibility with Research-Supported Stretching Protocols,0.24702616334090133
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Paul Conti: Therapy, Treating Trauma & Other Life Challenges",0.1886482623306537
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science & Process of Healing from Grief,0.3135447629739585
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Wendy Suzuki: Boost Attention & Memory with Science-Based Tools,0.09368704539092713
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Understand & Improve Memory Using Science-Based Tools￼,0.1440359068940344
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Understanding & Controlling Aggression,0.15366759209450748
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Rhonda Patrick: Micronutrients for Health & Longevity,0.2389133086205127
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science & Health Benefits of Deliberate Heat Exposure,0.12104112472755282
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Using Light (Sunlight, Blue Light & Red Light) to Optimize Health",0.16939334859694818
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Kyle Gillett: How to Optimize Your Hormones for Health & Vitality,0.13526180439723748
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Using Deliberate Cold Exposure for Health and Performance,0.0522173003636987
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Andy Galpin: How to Build Strength, Muscle Size & Endurance",0.1530433868220069
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Controlling Sugar Cravings & Metabolism with Science-Based Tools,0.11872256707776793
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Using Salt to Optimize Mental & Physical Performance,0.21443764838535773
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Justin Sonnenburg: How to Build, Maintain & Repair Gut Health",0.2070730709254051
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Enhance Your Gut Microbiome for Brain & Overall Health,0.325832986936874
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. David Spiegel: Using Hypnosis to Enhance Mental & Physical Health & Performance,0.2401062412560424
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"The Science of Love, Desire and Attachment",0.24834015181280267
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Using Play to Rewire & Improve Your Brain,0.19061898852842168
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Optimizing Workspace for Productivity, Focus, & Creativity",0.12381021046759205
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Alia Crum: Science of Mindsets for Health & Performance,0.2666748016829303
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of Setting & Achieving Goals,0.21976656801927524
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance,0.1992829948934545
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of Making & Breaking Habits,0.2918660856399598
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. David Sinclair: The Biology of Slowing & Reversing Aging,0.4868269577093393
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Science of Social Bonding in Family, Friendship & Romantic Love",0.20397764241467486
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. David Berson: Your Brain’s Logic & Function,0.29413370726624577
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear,0.26626794320342884
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. David Buss: How Humans Select & Keep Romantic Partners in Short & Long Term,0.1826249338973233
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of Gratitude & How to Build a Gratitude Practice,0.29552297873376954
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Time Perception & Entrainment by Dopamine, Serotonin & Hormones",0.27379831969575924
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization,0.0832786230083042
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Using Your Nervous System to Enhance Your Immune System,0.14881496604524977
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Samer Hattar: Timing Light, Food, & Exercise for Better Sleep, Energy & Mood",0.2472422744152058
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Nutrients For Brain Health & Performance,0.19485458190703586
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Effects of Fasting & Time Restricted Eating on Fat Loss & Health,0.3095067797104711
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Craig Heller: Using Temperature for Performance, Brain & Body Health",0.21894021099378325
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Controlling Your Dopamine For Motivation, Focus & Satisfaction",0.12926847680711448
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Matthew Johnson: Psychedelic Medicine,0.31497436384476485
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,ADHD & How Anyone Can Improve Their Focus,0.21334970169575307
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Healthy Eating & Eating Disorders – Anorexia, Bulimia, Binging",0.34790407270257334
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will",0.1611434792055487
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Understanding & Conquering Depression,0.09619403097976084
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Anna Lembke: Understanding & Treating Addiction,0.2610057369698616
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Control Your Sense of Pain & Pleasure,0.17783027628834983
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep,0.45607493177167074
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Optimize Your Brain-Body Function & Health,0.13024220997065813
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Dr. Lex Fridman: Machines, Creativity & Love",0.20487275083424694
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Maximizing Productivity, Physical & Mental Health with Daily Tools",0.08230512925219098
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"The Science of Hearing, Balance & Accelerated Learning",0.17974197311282503
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Dr. Karl Deisseroth: Understanding & Healing the Mind,0.1596846512762557
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"How Smell, Taste & Pheromone-Like Chemicals Control You",0.2572558649905016
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"The Science of Vision, Eye Health & Seeing Better",0.150079115015712
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How To Build Endurance In Your Brain & Body,0.1852973433055057
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Science of Muscle Growth, Increasing Strength & Muscular Recovery",0.05329580069770509
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Lose Fat with Science-Based Tools,0.19720901119428022
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Learn Skills Faster,0.18816199712027104
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Supercharge Exercise Performance & Recovery with Cooling,0.3408943862530133
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Using Cortisol & Adrenaline to Boost Our Energy & Immune System,0.06838057725767067
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Control Your Metabolism by Thyroid & Growth Hormone,0.09495957175982082
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"How Our Hormones Control Our Hunger, Eating & Satiety",0.1927892999490741
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of How to Optimize Testosterone & Estrogen,0.19446589356992092
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Biological Influences On Sex, Sex Differences & Preferences",0.28115627071068083
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,The Science of Emotions & Relationships,0.295703911959728
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Increase Motivation & Drive,0.2671882127545865
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How Foods and Nutrients Control Our Moods,0.2692317137632214
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Tools for Managing Stress & Anxiety,0.12470280084338797
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Control Pain & Heal Faster with Your Brain,0.16014779352231495
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Optimize Your Learning & Creativity with Science-based Tools,0.20180019555816844
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Using Failures, Movement & Balance to Learn Faster",0.219830900962381
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How to Focus to Change Your Brain,0.25536138150018617
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Understanding and Using Dreams to Learn and to Forget,0.14264803181116703
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"How to Defeat Jetlag, Shift Work & Sleeplessness",0.09293952170359915
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,"Using Science to Optimize Sleep, Learning & Metabolism",0.03948816231723521
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,Master Your Sleep & Be More Alert When Awake,0.11535354955419823
Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,How Your Brain Works & Changes,0.23342620592944852
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Journal Club with Dr. Peter Attia | Metformin for Longevity & The Power of Belief Effects,0.22781128413378046
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Marc Andreessen: How Risk Taking, Innovation & Artificial Intelligence Transform Human Experience",0.15144889625222321
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Goals Toolkit: How to Set & Achieve Your Goals,0.14832933281877586
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Dr. David Linden: Life, Death & the Neuroscience of Your Unique Experience",0.3822193834812708
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Rena Malik: Improving Sexual & Urological Health in Males and Females,0.31099714139091683
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Ketamine: Benefits and Risks for Depression, PTSD & Neuroplasticity",0.14859212869284869
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Tony Hawk: Harnessing Passion, Drive & Persistence for Lifelong Success",0.1766487855368659
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Maya Shankar: How to Shape Your Identity & Goals,0.34601777580235593
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,How to Enhance Performance & Learning by Applying a Growth Mindset,0.1403554030640721
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Robert Malenka: How Your Brain’s Reward Circuits Drive Your Choices,0.32080641605625015
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Science-Supported Tools to Accelerate Your Fitness Goals,0.27076988360357723
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Jeffrey Goldberg: How to Improve Your Eye Health & Offset Vision Loss,0.47889712300060056
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Tim Ferriss: How to Learn Better & Create Your Best Future,0.320676611928447
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,The Science of MDMA & Its Therapeutic Uses: Benefits & Risks,0.19966012375415837
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Immordino-Yang: How Emotions & Social Factors Impact Learning,0.1532567642473522
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Adderall, Stimulants & Modafinil for ADHD: Short- & Long-Term Effects",0.11939395672773982
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Robin Carhart-Harris: The Science of Psychedelics for Mental Health,0.4792303859455283
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Susanna Søberg: How to Use Cold & Heat Exposure to Improve Your Health,0.2674369566087659
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"How Psilocybin Can Rewire Our Brain, Its Therapeutic Benefits & Its Risks",0.23029099434370146
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Dr. Noam Sobel: How Smells Influence Our Hormones, Health & Behavior",0.19463432902355216
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Science-Based Mental Training & Visualization for Improved Learning,0.30607038897021177
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Matthew MacDougall: Neuralink & Technologies to Enhance Human Brains,0.1391416235467293
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"The Science of Healthy Hair, Hair Loss and How to Regrow Hair",0.0853833269188154
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Dr. Elissa Epel: Control Stress for Healthy Eating, Metabolism & Aging",0.1584889808119136
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Leverage Dopamine to Overcome Procrastination & Optimize Effort,0.07236067370550436
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Dr. Peter Attia: Improve Vitality, Emotional & Physical Health & Lifespan",0.4348434416195671
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Dr. Satchin Panda: Intermittent Fasting to Improve Health, Cognition & Longevity",0.43107971549366375
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,How to Optimize Your Water Quality & Intake for Health,0.2745992953998215
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Oded Rechavi: Genes & the Inheritance of Memories Across Generations,0.14207776419513882
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Guest Series | Dr. Andy Galpin: Optimal Nutrition & Supplementation for Fitness,0.07516245722995482
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"How to Breathe Correctly for Optimal Health, Mood, Learning & Performance",0.33161532935777116
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Guest Series | Dr. Andy Galpin: Maximize Recovery to Achieve Fitness & Performance Goals,0.12289299852492143
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,"Dr. Gina Poe: Use Sleep to Enhance Learning, Memory & Emotional State",0.16630548831511888
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Guest Series | Dr. Andy Galpin: Optimize Your Training Program for Fitness & Longevity,0.13129826919856608
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,How to Stop Headaches Using Science-Based Approaches,0.20392269438494048
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Guest Series | Dr. Andy Galpin: How to Build Physical Endurance & Lose Fat,0.11899106150912567
GUEST SERIES | Dr. Paul Conti: How to Understand & Assess Your Mental Health,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity,0.29457738630159747
